Property,Name,Value,Raw_value,Unit,Extracted_name,Specifier
Capacity,Li2ZnTi3O8,204.1,"157.4 , 188.7 , 204.1 and 167.3",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",charge specific capacities
Capacity,Li2ZnTi3O8,188.7,"157.4 , 188.7 , 204.1 and 167.3",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",charge specific capacities
Capacity,Li2ZnTi3O8,124.6,114.9 and 124.6,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}]",discharge capacities
Capacity,LiMn0.7Fe0.3PO4-C ,130,130,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '0.7', 'Fe': '0.3', 'P': '1.0', 'O': '4.0'}]",
Capacity,LiV3O8,180,180,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",capacity
Capacity,LiAl0.1Mn1.9O4,115,115,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Al': '0.1', 'Mn': '1.9', 'O': '4.0'}]",
Capacity,LiFe1 - yMnyPO4,119,119 to 78,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1-y', 'Mn': 'y', 'P': '1.0', 'O': '4.0'}]",capacity
Capacity,LiCoO2 / LiFePO4,274,∼ 274,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}, {'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",theoretical capacities
Capacity,LiMn,120,120,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '1.0'}]",discharge capacity
Capacity,LiCoO2,190,∼ 190,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",specific capacity
Capacity,Li4Ti4.99Ru0.01O12,107,107,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '4.99', 'Ru': '0.01', 'O': '12.0'}]",
Capacity,95(0.6Li2S·0.4SiS2)·5Li4SiO4,110,110,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'S': '1.0'}]",
Capacity,Li3V2(PO4)3 @ C ,182.6,182.6,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",
Capacity,LiFePO4 / C,156,"156 , 140 and 120",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",specific capacity
Capacity,Li4.4Sn,485,485,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.4', 'Sn': '1.0'}]",reversible capacity
Capacity,Li3V2(PO4)3,96.1,"179.8 , 163.0 , 154.6 , 139.1 , 131.6 and 96.1",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",discharge capacities
Capacity,LiMn2O4,99,"93 , 99 , and 105",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",
Capacity,Li5FeO4,142,114 to 142.0,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '5.0', 'Fe': '1.0', 'O': '4.0'}]",
